Get�tigt am Datum;Betrag;Quelle;Zahlungsweise;Projekt;Kontakt-ID;Vorname;Nachname;Unternehmen;M�chte Brief-Mailing;M�chte E-Mail-Newsletter;Keine E-Mails senden;Keine Briefe senden;Keine Anrufe;Geburtsdatum;Kontakt-Tags;Person erstellt am;PLZ;Stadt;Land;E-Mail-Adresse;Telefon;01-Anrede Couvert;02-Anredeform
31.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;639517e5d548fd9f9fb6d8d14279df86f9e1cbf66a9f15bd77c8b192c85e3c65;Gaia;Gloor;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5703;Seon;;gaia.gloor@hotmail.com;022 655 56 95;Frau;Du1
31.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;ef5cef48ffca8ca304b51ff7b2c0deb8905c7a54d39fe17490dc118a6b3f3b66;Louis;Zbinden;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, Pate, Dauerspender;13.05.2020;8912;Obfelden;;louis.zbinden@gmail.com;+41 43 465 42 25;Familie;Du2
31.10.2025;50,00;Neuspender;Bank�berweisung Patenschaften;Bildungsprojekt;6a4c557146909ab1730a4e0febeeaa471a60b1373657f80eabf54eabeea3778b;Andrej;Lanz;;Ja;Ja;Nein;Nein;Nein;;;03.11.2025;5703;Seon;;;;Frau;Du1
31.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;6d8666dce9c0214b416a8241a2fa5e5ed87957138d418bb2eaf83d52577f0192;Hamza;K�ser;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;5628;Aristau;;hamza.kser@hotmail.com;+41 52 591 07 01;Frau;Du1
31.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;328684310628678ea42e8350c80e4091cd1bb4fa28bfd1ec482fc9d84710c51e;Elsbeth;Gloor;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;1004;Lausanne;;elsbeth.gloor@hotmail.com;+41 43 994 68 85;Herr und Frau;Sie
31.10.2025;50,00;Paten;Bank�berweisung Patenschaften;Patenschaften inkl. personenbezogene Spenden;4af6b9fd1ff8eeb704683ea274a3be2d1e53216325b00eb1e4165469da48f066;Csaba;Fuchs;;Ja;Ja;Nein;Nein;Nein;1980;Pate;13.05.2020;6280;Hochdorf;;csaba.fuchs@hotmail.com;+41 24 876 06 50;Familie;Du2
31.10.2025;20,00;Mailing;Bank�berweisung Vereinskonto;Bildungsprojekt;89af807c5087abba71b630f4c4088060130ee817e16bbfe66e3a39af48af566d;Holger;Gut;;Ja;Ja;Nein;Nein;Nein;;;13.05.2020;5644;Auw;;;+41 34 056 55 09;Herr;Du1
31.10.2025;5000,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;0b6fb58a76c3250444bc5a5c67efb4a97d697121e9b00d493baad22d2ab936fe;Margherita;Sidler;;Ja;Ja;Nein;Nein;Nein;;;13.05.2020;6333;H�nenberg See;;;044 721 13 00;Herr und Frau;Du2
31.10.2025;1000,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;c8cdaa9bbeaaca3f588370398734df49c9051b1a6cca168d458697cb344195bb;Adele;Hafner;;Nein;Ja;Nein;Ja;Nein;;Benefizessen 25, Weihnachtskarte, E-Mailing, Vereinsmitglieder;13.05.2020;8805;Richterswil;;adele.hafner@gmail.com;;Frau;Du1
31.10.2025;150,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;89ab1cbfb1bd167fc81d727ab4c19360342c08bbe6b6d5c5f38b73590ab5c99a;Marietta;W�thrich;;Ja;Ja;Nein;Nein;Nein;;Dauerspender;13.05.2020;8732;Neuhaus;;marietta.wthrich@hotmail.com;;Herr und Frau;Du2
31.10.2025;50,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;ef5cef48ffca8ca304b51ff7b2c0deb8905c7a54d39fe17490dc118a6b3f3b66;Louis;Zbinden;;Ja;Ja;Nein;Nein;Nein;;Benefizessen 25, Pate, Dauerspender;13.05.2020;8912;Obfelden;;louis.zbinden@gmail.com;+41 43 465 42 25;Familie;Du2
31.10.2025;100,00;Mailing;Bank�berweisung Vereinskonto;Allgemein;7530fbb323d36dd8fdeb42373130131951882638a6f1a3f4046f8cfacab57882;Reiner;Gut;;Ja;Ja;Nein;Nein;Nein;;keine Giveaways;29.07.2020;4573;Lohn-Ammannsegg;;reiner.gut@gmail.com;;Herr;Sie
31.10.2025;50,00;Paten;Bank�berweisung Vereinskonto;Patenschaften inkl. personenbezogene Spenden;94eee4fd8e2a2324432da92f3a4be9ed5e7e66e09f6236efb8b4f7387b7d383f;Jannik;Meister;;Ja;Ja;Nein;Nein;Nein;;Pate;13.05.2020;6036;Dierikon;;;+41 56 838 60 96;Frau;Du1
